dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
medical_charges,obliquert,671155,119.8111,success,0.08670558280462227,27.3155,0.08565344451493463,12.1287,0.0857800114088204,39.1527,0.0828997389022897,27.0989
medical_charges,obliquert,131932,120.9889,success,0.08629335127361054,27.1607,0.08563016582251502,12.1776,0.08571575207132348,38.9769,0.0828229330383624,28.431
medical_charges,obliquert,365838,122.2044,success,0.08611928567380843,28.5397,0.08539613553403502,12.625,0.08575699052922754,39.0702,0.08288779612265791,27.7132
medical_charges,obliquert,259178,123.9128,success,0.08660892659500279,28.979,0.08592774418790211,14.2281,0.08559847913651658,38.7267,0.08285462128290771,27.6298
MiamiHousing2016,obliquert,121958,32.1195,success,0.17111376474480386,4.6528,0.18034838806479825,2.7821,0.1660048490037657,13.7998,0.16972276120272703,6.1616
MiamiHousing2016,obliquert,671155,36.6546,success,0.17046252700196804,4.4772,0.1806332489632654,2.8413,0.16560149242517097,13.875,0.17069899381252673,9.2348
MiamiHousing2016,obliquert,131932,35.8739,success,0.1719614523944916,4.3636,0.18168446228723267,2.7559,0.16402052561922484,13.7943,0.16837372987827873,9.073
MiamiHousing2016,obliquert,365838,35.9536,success,0.16964269841643867,4.5198,0.17815630158734688,2.7009,0.1646785404718852,13.4033,0.16880054448798046,9.0197
MiamiHousing2016,obliquert,259178,35.7138,success,0.17178227575650226,4.5168,0.17982225972481705,2.766,0.16589569359231596,13.8853,0.1700283930787184,9.1408
superconduct,obliquert,121958,233.0349,success,9.87305165147629,18.9924,10.364108495144453,10.1949,9.740800614340277,101.4103,9.984901755512157,53.4071
superconduct,obliquert,671155,187.3682,success,9.83626771829559,17.8798,10.343321389558279,6.6409,9.838471301376678,102.8885,10.01098414144496,54.2671
superconduct,obliquert,131932,230.3218,success,9.87938902890407,18.9917,10.429286213081607,8.7599,9.782972860266643,100.3706,9.998541494534942,52.9771
superconduct,obliquert,365838,232.5063,success,9.770488768861595,19.2485,10.262963928214829,10.1136,9.653298267329312,100.9512,9.873543742001718,52.7852
superconduct,obliquert,259178,230.18,success,9.78044891834123,19.5369,10.352197452906864,8.8882,9.7724210790148,100.0034,9.957628621042256,52.6117
yprop_4_1,obliquert,121958,37.3624,success,0.02933156650825855,4.4532,0.02892815572460261,1.9516,0.029352814820968437,23.4503,0.0290786036771073,6.8246
yprop_4_1,obliquert,671155,37.3556,success,0.029189153997396005,4.4621,0.028987709310164023,1.9999,0.02934038501564241,20.3346,0.02895690919078085,6.8291
yprop_4_1,obliquert,131932,39.5145,success,0.029236332296804373,4.5494,0.028947463143510103,1.9667,0.029201340327413908,22.6173,0.028938931861996656,6.7971
yprop_4_1,obliquert,365838,37.1718,success,0.029062989505731714,4.2904,0.028915728513893253,1.9698,0.029167821211338592,23.4283,0.028916936787285148,6.8055
yprop_4_1,obliquert,259178,34.0642,success,0.02930354988930002,4.3616,0.028890919845064752,2.0065,0.029327578305823564,16.6162,0.028861403806397252,7.4071
abalone,obliquert,121958,5.3932,success,2.1780261871575175,0.9831,2.154390552618521,0.6262,2.169532284007691,1.8514,2.125797970770922,1.2617
abalone,obliquert,671155,5.242,success,2.1739999107303523,0.9147,2.166937973344987,0.6146,2.1524850198428234,1.8083,2.134204897021053,1.2408
abalone,obliquert,131932,4.4643,success,2.1943247889421618,0.9197,2.1724465582234678,0.6154,2.186774298641316,1.6556,2.156181176288365,0.8211
abalone,obliquert,365838,5.3086,success,2.182588415952455,0.9205,2.1444522724209496,0.6128,2.17781329137775,1.8499,2.1349935349288534,1.2627
abalone,obliquert,259178,5.2437,success,2.1754719865712886,0.9081,2.1528531545764946,0.604,2.1910752151065886,1.8392,2.13649154210546,1.2287
