classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
AEON-TSER,HouseholdPowerConsumption2,Continuous,rotf,RMSE,1431,1028,0.95161019503744,0.0027578953654058395,148.03052
AEON-TSER,IEEEPPG,Continuous,et,RMSE,3096,5000,0.9403425394068178,0.00558153201814256,431.77352
AEON-TSER,IEEEPPG,Continuous,rf,RMSE,3096,5000,0.9380772405005313,0.004960947221154899,1109.97804
AEON-TSER,IEEEPPG,Continuous,rotf,RMSE,3096,1000,0.984060006116138,0.010105521396334955,487.79426
AEON-TSER,LiveFuelMoistureContent,Continuous,et,RMSE,5003,2555,0.9981984297918471,0.0015894819393046323,548.4255
AEON-TSER,LiveFuelMoistureContent,Continuous,rf,RMSE,5003,2555,0.9827627671761487,0.001636240735425249,2001.8979
AEON-TSER,LiveFuelMoistureContent,Continuous,rotf,RMSE,5003,1277,0.9933860919972568,0.002004392518124813,1717.88628
OpenML-297,Ailerons,Continuous,et,RMSE,13750,33,0.9975903614457831,0.0032995334789467706,14.89494
OpenML-297,Ailerons,Continuous,rf,RMSE,13750,33,0.9783132530120483,0.003299533478946748,25.28612
OpenML-297,Ailerons,Continuous,rotf,RMSE,13750,33,0.9795180722891565,0.0032995334789467597,42.48904
OpenML-297,Brazilian_houses,Continuous,et,RMSE,10692,8,0.8853102086858433,0.01856115045882271,4.3751999999999995
OpenML-297,Brazilian_houses,Continuous,rf,RMSE,10692,8,0.9976410039481106,0.0022417998163595026,6.83464
OpenML-297,Brazilian_houses,Continuous,rotf,RMSE,10692,8,0.7864072194021433,0.02678343734611926,11.34444
OpenML-297,MiamiHousing2016,Continuous,et,RMSE,13932,13,0.9574397655055655,0.00303834757099114,9.47038
OpenML-297,MiamiHousing2016,Continuous,rf,RMSE,13932,13,0.9963423416594018,0.002641390131483689,30.8379
OpenML-297,MiamiHousing2016,Continuous,rotf,RMSE,13932,13,0.946077651012647,0.003081227755114381,33.023720000000004
OpenML-297,cpu_act,Continuous,et,RMSE,8192,21,0.9476866905573649,0.004155384969400188,6.14884
OpenML-297,cpu_act,Continuous,rf,RMSE,8192,21,0.9956655157014171,0.0033471480947866246,18.454259999999998
OpenML-297,cpu_act,Continuous,rotf,RMSE,8192,21,0.9384453037350093,0.008045931029472207,22.4934
OpenML-297,isolet,Continuous,et,RMSE,7797,613,2.9533464,0.014224331435958594,113.45044
OpenML-297,isolet,Continuous,rf,RMSE,7797,613,3.521389,0.032337416455245856,642.12384
OpenML-297,isolet,Continuous,rotf,RMSE,7797,613,3.0256546,0.02556398257901146,995.5938
OpenML-297,pol,Continuous,et,RMSE,15000,26,0.9128542595471345,0.01594296757297363,4.4999
OpenML-297,pol,Continuous,rf,RMSE,15000,26,0.9896438889540681,0.014843539768778486,7.9071
OpenML-297,pol,Continuous,rotf,RMSE,15000,26,0.8869266769812871,0.014454599181624611,18.4885
OpenML-297,sulfur,Continuous,et,RMSE,10081,6,0.6317909300538048,0.010349028102402404,4.03534
OpenML-297,sulfur,Continuous,rf,RMSE,10081,6,0.9524919292851652,0.02138658898645613,13.1411
OpenML-297,sulfur,Continuous,rotf,RMSE,10081,6,0.9768178324365874,0.02618484852551142,10.59338
OpenML-297,wine_quality,Continuous,et,RMSE,6497,11,0.9530293363108292,0.004390084291481123,2.26386
OpenML-297,wine_quality,Continuous,rf,RMSE,6497,11,0.9890045327059322,0.007435953910263869,6.08246
OpenML-297,wine_quality,Continuous,rotf,RMSE,6497,11,0.953641118687775,0.007271496213864047,9.32642
OpenML-CC18,analcatdata_authorship,Continuous,et,Accuracy,841,70,0.9788238,0.005261020737461505,0.30813999999999997
OpenML-CC18,analcatdata_authorship,Continuous,rf,Accuracy,841,70,0.9717649999999999,0.006443955889048278,0.472
OpenML-CC18,analcatdata_authorship,Continuous,rotf,Accuracy,841,70,0.9741177999999999,0.01744994423200257,5.72508
OpenML-CC18,analcatdata_dmft,Categorical,et,Accuracy,797,4,0.225,0.0,0.28726
OpenML-CC18,analcatdata_dmft,Categorical,rf,Accuracy,797,4,0.28500000000000003,0.024044230077089185,0.35546
OpenML-CC18,analcatdata_dmft,Categorical,rotf,Accuracy,797,4,0.24500000000000002,0.01118033988749896,0.89042
OpenML-CC18,balance-scale,Continuous,et,Accuracy,625,4,0.873016,0.0,0.24211999999999997
OpenML-CC18,balance-scale,Continuous,rf,Accuracy,625,4,0.8825398,0.008694000155279515,0.28476
OpenML-CC18,balance-scale,Continuous,rotf,Accuracy,625,4,0.9428572000000001,0.008694000155279515,0.37704
OpenML-CC18,breast-w,Continuous,et,Accuracy,699,9,0.9657145999999999,0.007824764456518815,0.13022
OpenML-CC18,breast-w,Continuous,rf,Accuracy,699,9,0.971429,0.0,0.21225999999999998
OpenML-CC18,breast-w,Continuous,rotf,Accuracy,699,9,0.9685718,0.006388893425312408,0.4168200000000001
